"Year","Incremento"
2019,60.9798729812725
2018,60.8496961425771
2017,61.5465009361435
2016,61.234052029662
2015,61.8302901003731
2014,60.8762787882609
2013,59.5757999814041
2012,58.3439815997184
2011,56.8091618290038
2010,55.5929760643453
2009,54.2499854170984
2008,52.9313684437233
2007,51.0012723715009
2006,49.2501757297192
2005,47.928938540737
2004,47.5109282403886
2003,47.2732776734649
2002,47.5618523049264
2001,48.1139038832448
2000,48.7172795964621
1999,49.4612382077923
1998,50.0196864621478
1997,49.6198037958365
1996,50.0669048382423
1995,49.8709704587065
1994,49.7583990271162
1993,49.347823906428
1992,49.597388911955
1991,49.7271475845703
1990,49.7680401396058
1989,49.9506240093544
1988,50.2875658518405
1987,50.675149519423
1986,50.9048369181913
1985,51.9848440923295
1984,53.5366478445028
1983,54.778860046324
1982,56.3539184453295
1981,57.5689793144055
1980,58.4242805859377
1979,58.7192813927672
1978,57.963670978428
1977,57.6438941114928
1976,57.7001419351996
1975,57.4621958953005